doc_id,name,address,phone,website,services,population,eligibility,intake,hours,capacity,cost,contact_email,notes
dfw-0011,JPS Health Network – John Peter Smith Hospital,"1500 S Main St, Fort Worth, TX 76104",817-702-3431,https://www.jpshealthnet.org,"County hospital, emergency department, inpatient and outpatient specialty clinics, Level I trauma center","Tarrant County residents, uninsured and underinsured individuals, general public needing emergency care","Primarily serves Tarrant County; accepts Medicaid/Medicare, commercial insurance, and uninsured with financial assistance programs",Emergency department is walk-in; clinics generally require referral or appointment via JPS Connect or call center,Hospital: 24/7 emergency; clinic hours vary by specialty,,Financial assistance/charity care available; costs vary by program and insurance,,Flagship hospital for JPS Health Network and major safety-net provider for Tarrant County
dfw-0012,JPS Health Network – Stop Six / Walter B. Barbour Health Center,"3301 Stalcup Rd, Fort Worth, TX 76119",817-920-6400,https://www.jpshealthnet.org/locations,"Primary care, pediatrics, women’s health, chronic disease management, lab, pharmacy",Residents of Stop Six and surrounding Fort Worth neighborhoods; low-income and uninsured patients,Accepts Medicaid/Medicare and many insurances; sliding scale/charity care for eligible uninsured,Call center to schedule appointment; referrals from JPS providers accepted,Mon–Fri standard clinic hours (generally 8:00am–5:00pm),,Low-cost and sliding scale services; pharmacy discounts for eligible patients,,Neighborhood JPS clinic increasing access in historically underserved Stop Six community
dfw-0013,JPS Health Network – Northeast Tarrant Health Center,"3200 W Euless Blvd, Euless, TX 76040",817-920-6400,https://www.jpshealthnet.org/locations,"Family medicine, pediatrics, women’s health, behavioral health, chronic disease care","Residents of Northeast Tarrant County, including Hurst, Euless, Bedford, and nearby communities","Accepts Medicaid/Medicare, CHIP, commercial insurance; discounted care for eligible uninsured under JPS charity policies",Call JPS scheduling line to establish care and book appointments,Mon–Fri daytime clinic hours,,JPS charity care and payment plans available,,Regional clinic helping residents avoid traveling to central Fort Worth for basic primary care
dfw-0014,North Texas Area Community Health Centers – Northside Community Health Center,"2332 Beverly Hills Dr, Fort Worth, TX 76114",817-625-4254,https://www.ntachc.org,"Primary care, pediatrics, women’s health, behavioral health, pharmacy","Low-income families, uninsured and underinsured residents of Tarrant County","FQHC; accepts Medicaid/Medicare, CHIP, many private plans, and sliding-fee scale for uninsured",Call clinic to register and schedule; some walk-in or same-day appointments for acute needs,Mon–Fri 8:00am–5:00pm (hours may vary slightly),,Sliding-fee discounts based on income and family size,info@ntachc.org,Community health center serving Fort Worth’s Northside and surrounding neighborhoods
dfw-0015,North Texas Area Community Health Centers – Southeast Community Health Center,"2909 Mitchell Blvd, Fort Worth, TX 76105",817-413-6500,https://www.ntachc.org,"Family medicine, pediatrics, women’s health, behavioral health, chronic disease care",Residents of southeast Fort Worth and nearby Tarrant County communities,"Same eligibility as other NTACHC sites: Medicaid/Medicare, private insurance, and sliding-fee scale for uninsured",Call clinic to make appointment; new patients complete registration and financial screening,Mon–Fri standard daytime clinic hours,,Sliding-fee scale and assistance programs for labs and medications,info@ntachc.org,FQHC site providing culturally competent care in Southeast Fort Worth
dfw-0016,Tarrant County Public Health – Main Clinic,"1101 S Main St, Fort Worth, TX 76104",817-321-4700,https://www.tarrantcountytx.gov/en/public-health.html,"Immunizations, STI and TB testing, WIC, public health nursing, community health education","Residents of Tarrant County, including children, adults, and high-risk groups","Eligibility varies by program; many services for all county residents, with priority for low-income and high-risk populations",Walk-in and appointment-based services depending on clinic; check website or call ahead,Mon–Fri typical government business hours,,Low-cost public health services; many programs free or reduced-cost,,Central public health department facility for Tarrant County
dfw-0017,MHMR of Tarrant County – Behavioral Health,"3840 Hulen St, Fort Worth, TX 76107",817-569-4300,https://www.mhmrtarrant.org,"Adult and youth mental health services, substance use treatment, crisis services, case management","Residents of Tarrant County with mental health or substance use needs, including serious mental illness",Primarily serves county residents; accepts Medicaid and other public funding; options for uninsured via county programs,Call MHMR intake or 24/7 crisis line for screening and referral; some walk-in access at crisis centers,Office hours Mon–Fri; crisis services available 24/7 by phone,,Publicly funded; low or no cost for eligible clients,,Primary local mental health authority (LMHA) for Tarrant County
dfw-0018,SafeHaven of Tarrant County – Health & Counseling Services,"P.O. Box 1450, Fort Worth, TX 76101 (administrative); shelters at confidential locations",877-701-7233,https://www.safehaventc.org,"Domestic violence shelter, counseling, safety planning, sexual assault and trauma-informed health referrals",Survivors of domestic violence and their children in Tarrant County,Survivors of intimate partner violence; services regardless of income or immigration status,"Call 24/7 hotline for crisis response, shelter, and counseling intake",24/7 hotline; counseling and support group hours vary by site,,Services are free for survivors,,Regional DV agency; coordinates with hospitals and clinics for medical and forensic services
dfw-0019,The Women’s Center of Tarrant County – Rape Crisis & Counseling Center,"1723 Hemphill St, Fort Worth, TX 76110",817-927-4000,https://www.womenscentertc.org,"Rape crisis services, counseling, victim advocacy, support groups, trauma-focused therapy","Adult and child survivors of sexual assault, abuse, and other violent crimes",Survivors and their non-offending family members; no income or insurance requirements,"24/7 rape crisis hotline; call to request hospital accompaniment, counseling, or support groups",Office hours Mon–Fri; 24/7 hotline for crisis,,Most services free of charge to survivors,,Key partner with hospitals and law enforcement for sexual assault response in Tarrant County
dfw-0020,Cook Children’s Neighborhood Clinics – Fort Worth (Representative Site),"2755 Miller Ave, Fort Worth, TX 76105",682-885-1500,https://www.cookchildrens.org,"Pediatric primary care, immunizations, sick visits, well-child checks, chronic disease management","Children and adolescents, especially Medicaid/CHIP and low-income families","Accepts Medicaid/CHIP, many commercial plans; limited options for uninsured with financial assistance",Call clinic to schedule appointments; referrals from Cook Children’s hospital and community providers accepted,Mon–Fri daytime clinic hours,,Accepts public insurance and offers assistance with financial counselors,,Part of regional pediatric system offering community-based clinics in underserved neighborhoods
dfw-0021,Mission Arlington – Bob Mann Medical Clinic,"210 W South St, Arlington, TX 76010",817-277-9597,https://missionarlington.org/health-care/,"Free primary care, limited specialty care, chronic disease management, health education",Low-income and uninsured adults and children in Arlington and surrounding communities,No insurance or income requirements; focus on uninsured/underinsured; walk-ins welcome as capacity allows,"Walk in during clinic hours or call for information; first-come, first-served with sign-in system","Mon–Fri 8:00am–5:00pm, plus a Tuesday evening clinic",,Services provided at no charge; donations accepted,medicalclinic@missionarlington.org,Faith-based free clinic integrated with Mission Arlington’s broader social services network
dfw-0022,North Texas Area Community Health Centers – Arlington Community Health Center,"1001 N Waldrop Dr, Suite 708, Arlington, TX 76012",817-625-4254,https://www.ntachc.org,"Primary care, pediatrics, women’s health, behavioral health, chronic disease care","Low-income, uninsured and underinsured residents of Arlington and Tarrant County","FQHC; accepts Medicaid/Medicare, CHIP, many private plans, and sliding-fee discounts for uninsured",Call clinic for registration and appointment scheduling; some same-day appointments available,Mon–Fri 8:00am–5:00pm (evening hours occasionally offered),,Sliding-fee scale based on household income and size,info@ntachc.org,Community health center expanding FQHC access in Arlington
dfw-0023,Women’s Health Services – Arlington,"1001 N Waldrop Dr, Suite 505, Arlington, TX 76012",817-277-9415,https://www.womenshealthservices.com,"OB/GYN services, prenatal care, contraception, well-woman exams, gynecologic procedures",Women and pregnant people in Arlington and surrounding areas,Accepts most major insurances including Medicaid; financial counselors can discuss costs with uninsured,Call office to schedule new or follow-up appointments,Mon–Fri daytime clinic hours,,Insurance-based practice; payment plans and financial counseling available,,Long-established OB/GYN group providing comprehensive women’s health care
dfw-0024,JPS Health Network – Arlington Health Center,"1050 W Arkansas Ln, Arlington, TX 76013",817-920-6400,https://www.jpshealthnet.org/locations,"Family medicine, pediatrics, women’s health, lab, chronic disease care",Arlington residents and other Tarrant County patients seeking low-cost primary care,"Accepts Medicaid/Medicare, CHIP, commercial plans; JPS charity care for eligible uninsured",Call JPS scheduling line to enroll and make an appointment,Mon–Fri standard clinic hours,,Eligible uninsured patients may qualify for reduced fees through JPS connection,,JPS-operated community clinic focused on Arlington and nearby neighborhoods
dfw-0025,PrimeCare Family Practice – Arlington,"1001 N Waldrop Dr, Suite 501, Arlington, TX 76012",817-873-3710,https://www.primecarefp.com,"Family medicine, chronic disease management, preventive care, minor procedures",Adults and families in Arlington with or without chronic conditions,Accepts most commercial insurance and Medicare; may offer self-pay rates for uninsured,Call office or use online request form to book appointments,Mon–Fri typical clinic hours,,Insurance-based practice; self-pay patients should call ahead for pricing,,Private primary care group located in the Arlington medical district
dfw-0026,Texas Health Family Care – Mesquite (serving East DFW),"1519 N Town East Blvd, Suite 100, Mesquite, TX 75150",972-613-6800,https://www.care.texashealth.org,"Family medicine, preventive care, chronic disease management",Individuals and families in Mesquite and East DFW suburbs,Accepts most major insurance plans and Medicare; self-pay options available,Call clinic or schedule through Texas Health online patient portal,Mon–Fri 8:00am–5:00pm,,Insurance-based primary care; financial counseling via Texas Health system,,"Part of Texas Health Physicians Group, convenient for residents east of Dallas"
dfw-0027,Planned Parenthood – Mesquite Health Center,"1220 N Town East Blvd, Suite 230, Mesquite, TX 75150",972-329-0272,https://www.plannedparenthood.org,"Reproductive health, contraception, STI testing and treatment, cancer screenings, gender-affirming care (where available)",Teens and adults seeking confidential reproductive and sexual health services,Accepts Medicaid and many insurances; sliding-fee scale and grant-funded services for eligible patients,Book online or call clinic; walk-ins limited and based on daily capacity,Hours vary by day; typically weekdays with some extended hours,,Sliding-fee scale; some services may be free under grant programs,,"Confidential, inclusive sexual and reproductive health provider for East DFW area"
dfw-0028,The CARE Clinic – Mesquite ISD Counseling,"2600 Motley Dr, Mesquite, TX 75150",972-882-7526,https://www.mesquiteisd.org,"Mental health counseling for students and families, referrals to community health resources",Students and families in Mesquite ISD,Eligibility primarily for Mesquite ISD students and their immediate family members,Call clinic to complete intake and schedule counseling appointments,Hours follow school calendar; generally weekday daytime and some afternoon/evening availability,,School-linked behavioral health; services often free or low-cost,,Connects students to licensed counselors and community mental health providers
dfw-0029,Arlington Public Health – Public Health Center (via Tarrant County Public Health),"536 W Randol Mill Rd, Arlington, TX 76011",817-321-4700,https://www.tarrantcountytx.gov/en/public-health.html,"Immunizations, TB testing, STD testing, public health nursing, health education",Residents of Arlington and Tarrant County needing basic public health services,Open to county residents; some services targeted to specific age groups or risk categories,Call or check website to confirm hours and whether appointment is required,Mon–Fri government business hours,,Low-cost or reduced-cost public health services,,Satellite public health clinic closer to Arlington residents
dfw-0030,Texas Health Arlington Memorial Hospital – Community Health,"800 W Randol Mill Rd, Arlington, TX 76012",817-960-6100,https://www.texashealth.org/locations/texas-health-arlington-memorial-hospital,"Full-service hospital, ER, maternity, medical and surgical specialties, community health education",General public in Arlington and Mid-Cities area,Accepts most insurance; financial assistance available for eligible low-income patients,ER walk-in 24/7; other services by physician order or appointment,Hospital and emergency department 24/7; outpatient clinics vary,,Hospital charges with available charity/financial assistance programs,,Nonprofit hospital serving Arlington and Mid-Cities residents
dfw-0031,Health Services of North Texas – Plano,"5501 Independence Pkwy, Suite 110, Plano, TX 75023",940-381-1501,https://healthservicesntx.org,"Primary care for adults and children, chronic disease management, women’s health, behavioral health","Low-income, uninsured and underinsured residents of Plano, Frisco, and Collin County","FQHC; accepts Medicaid/Medicare, CHIP, many private plans, and sliding-fee scale for uninsured",Call central HSNT number for registration and appointments,Mon–Fri daytime hours,,Sliding-fee discounts based on income,,HSNT’s Collin County site expanding access for Plano and nearby suburbs
dfw-0032,Julia’s Center for Healthcare – Plano,"1947 K Ave, Suite A400, Plano, TX 75074",972-535-5099,https://www.juliascenter.com,"Free primary care, chronic disease management, limited lab services, women’s health",Uninsured adults living or working in Plano and Collin County,Uninsured adult patients; income screening used to confirm eligibility,Call clinic to schedule an appointment; patients must book in advance (no walk-in for new patients),"Limited clinic hours several days per week, including some evenings",,No charge for eligible patients; donations accepted,,Volunteer-run charitable clinic focusing on uninsured adults in Plano and Collin County
dfw-0033,CommonGood Medical (formerly Hope Clinic of McKinney),"103 E Lamar St, McKinney, TX 75069",469-712-4246,https://commongoodmedical.org,"Primary care, acute care, pediatrics, women’s health, specialty clinics, counseling, prescription assistance","Low-income, uninsured residents of McKinney and Collin County",Uninsured patients under a certain income threshold; screening required,Call clinic to complete eligibility screening and schedule appointment,Clinic hours several weekdays; schedule published on website,,No set fee; donations encouraged; many services offered free to patients,info@commongoodmedical.org,Faith-based free/charity clinic offering broad range of primary and specialty care
dfw-0034,Hope Women’s Center – McKinney,"900 W White Ave, Suite 200, McKinney, TX 75069",972-562-4673,https://myhope.org,"Pregnancy testing, ultrasounds, options counseling, limited STI testing, referrals",Women and teens who are pregnant or think they might be pregnant in Collin County and nearby,Open to all regardless of income or insurance; focuses on those facing unplanned pregnancy,Call or request appointment online; free and confidential services,Weekday hours with some evening availability; see website for schedule,,Services are free,,Nonprofit pregnancy center that can connect clients to prenatal and community health resources
dfw-0035,Frisco Family Services – Counseling & Referral (health-related support),"9085 Dogwood St, Frisco, TX 75033",972-335-9495,https://friscofamilyservices.org,"Counseling, case management, referrals to medical, dental, and mental health providers",Low- to moderate-income individuals and families in Frisco and Frisco ISD,Income and residency guidelines; focus on Frisco residents experiencing crisis or instability,Call intake line to set up case management appointment; referrals then made to health providers,Mon–Fri business hours,,Many services free; counseling may have minimal or sliding-fee costs,,Provides health-adjacent support and connects clients to charity clinics and low-cost medical care
dfw-0036,Children’s Health Specialty Center – Plano (Community Pediatric Services),"7609 Preston Rd, Plano, TX 75024",469-303-7000,https://www.childrens.com,"Specialty pediatric care, chronic disease clinics, therapy services, diagnostics",Children and adolescents needing specialized pediatric care in North Dallas/Collin County,Accepts Medicaid/CHIP and a wide range of private insurance; financial assistance available,Referrals from pediatricians or self-referrals depending on specialty; call for scheduling,Clinic hours weekdays; varies by specialty,,Hospital-based clinic fees with available financial assistance programs,,Major pediatric specialty hub for families in North Dallas and Collin County
dfw-0037,Collin County Health Care Services – Immunizations & Public Health,"825 N McDonald St, Suite 130, McKinney, TX 75069",972-548-4744,https://www.collincountytx.gov/healthcare_services,"Immunizations, TB testing, disease surveillance, public health education","Residents of Collin County; children, adults, and high-risk groups","County residents; some programs target specific populations (e.g., children’s vaccines)",Call or check website to confirm walk-in vs appointment requirements,Mon–Fri government business hours,,Low-cost immunizations and public health services; some fees may be waived,,County public health authority for Collin County
dfw-0038,Plano Children’s Medical Clinic,"1407 14th St, Plano, TX 75074",972-801-9689,https://www.planocmc.org,"Pediatric primary care, immunizations, sick visits, chronic disease management",Children from low-income families in Plano and surrounding communities,Primarily serves uninsured or Medicaid/CHIP-insured children; income screening may apply,Call clinic to register and make an appointment,Weekday clinic hours (posted on website),,Low-cost pediatric care; accepts Medicaid/CHIP and offers reduced fees for uninsured,,Nonprofit pediatric clinic focused on removing barriers to care for children
dfw-0039,Texas Health Presbyterian Hospital – Plano Community Health,"6200 W Parker Rd, Plano, TX 75093",972-981-8000,https://www.texashealth.org/locations/texas-health-presbyterian-hospital-plano,"Hospital services, emergency department, maternity, various medical specialties, community education","Residents of Plano, Frisco, and surrounding communities",Accepts most insurance; financial assistance programs for qualifying low-income patients,ER walk-in 24/7; outpatient services by appointment or provider referral,Hospital and ER 24/7; clinics vary by specialty,,Hospital billing with available charity care for eligible patients,,Major nonprofit hospital serving Collin County and North Dallas suburbs
dfw-0040,Baylor Scott & White Medical Center – Frisco,"5601 Warren Pkwy, Frisco, TX 75034",469-487-2000,https://www.bswhealth.com/locations/frisco-hospital,"Hospital, surgery, imaging, specialty medical services",General public in Frisco and North DFW; many patients with commercial insurance,Accepts most commercial insurance and Medicare; financial assistance options available,ER and inpatient access 24/7; outpatient and elective procedures scheduled in advance,Hospital and ER 24/7; clinics vary,,Standard hospital charges with assistance programs for eligible patients,,Community hospital serving rapidly growing Frisco area
dfw-0041,Health Services of North Texas – Denton Medical Center,"4304 Mesa Dr, Denton, TX 76207",940-381-1501,https://healthservicesntx.org,"Family medicine, pediatrics, women’s health, chronic disease management, behavioral health","Low-income, uninsured and underinsured residents of Denton County","FQHC; accepts Medicaid/Medicare, CHIP, many private plans, and sliding-fee scale for uninsured",Call HSNT to register and schedule appointment,Mon–Fri daytime clinic hours,,Sliding-fee scale based on household income,,Key FQHC primary care provider for Denton and nearby communities
dfw-0042,Health Services of North Texas – Serve Denton Center,"306 N Loop 288, Suite 200, Denton, TX 76209",940-381-1501,https://healthservicesntx.org,"Family medical care, pediatrics, women’s health, behavioral health, care coordination","Uninsured, underinsured, and Medicaid/Medicare patients in Denton County",Same eligibility as other HSNT sites; sliding-fee discounts for uninsured,Call central number for appointments,Mon–Fri standard clinic hours,,Sliding-fee scale; integrates with other nonprofits located at Serve Denton,,"Co-located with other social service agencies, making it easier to access wraparound support"
dfw-0043,Denton County Public Health – Clinical Services,"535 S Loop 288, Denton, TX 76205",940-349-2900,https://www.dentoncounty.gov/648/Clinical-Services,"Immunizations, STI testing, TB services, limited primary care, epidemiology, public health nursing","Residents of Denton County, including children and adults",Eligibility and costs vary by program; priority for county residents and certain high-risk groups,Call to schedule appointments; some services may offer walk-in hours,Mon–Fri 7:30am–5:00pm (closed mid-day for lunch),,Low-cost fees; some programs free or reduced-cost,,County public health authority for Denton County
dfw-0044,Denton County Public Health – Lewisville Office,"190 N Valley Pkwy, Lewisville, TX 75067",940-349-2900,https://www.dentoncounty.gov,"Immunizations, TB testing, public health nursing, limited clinic services","Residents of Denton County, especially those in southern Denton County cities",County residents; program-specific eligibility for certain services,Call public health number to verify available services and schedule,Mon–Fri government business hours,,Low-cost public health services,,"Satellite public health location for residents of Lewisville, Flower Mound, and nearby areas"
dfw-0045,Medical City Denton – Community Hospital,"3535 S Interstate 35 E, Denton, TX 76210",940-384-3535,https://medicalcitydenton.com,"Hospital services, emergency care, surgery, specialty clinics",General public in Denton County and North Texas region,Accepts most insurance plans; financial counselors available for uninsured/underinsured,ER is walk-in 24/7; other services by referral or appointment,Hospital and ER 24/7; outpatient hours vary,,Hospital billing with potential charity care for eligible individuals,,Major acute care hospital for Denton and surrounding communities
dfw-0046,Garland Public Health Department – Public Health Clinic,"206 Carver St, Garland, TX 75040",972-205-3370,https://garlandtx.gov,"Immunizations, TB testing, communicable disease services, health education","Residents of Garland, Rowlett, and Sachse and other Dallas County areas",Primarily serves residents of Garland and nearby cities; some services open to all Dallas County residents,Walk-in immunization hours; call to confirm schedule and specific services,"Mon, Tue, Thu, Fri 7:30am–5:30pm (closed Wednesdays)",,Low-cost immunizations and testing fees,,Local public health clinic operated in partnership with Dallas County Health & Human Services
dfw-0047,Baylor Scott & White Family Health Center – Mesquite,"2698 N Galloway Ave, Suite 104, Mesquite, TX 75150",972-682-8910,https://www.bswhealth.com/locations/clinic/family-health-center-mesquite,"Primary care, women’s health, pediatrics, chronic disease management",Individuals and families in Mesquite and East Dallas County,Accepts most major insurance plans; self-pay options available,Call clinic to schedule new or follow-up appointments,Mon–Fri 8:00am–5:00pm,,Insurance-based primary care; financial assistance programs via Baylor Scott & White,,Family health center providing medical home for Mesquite-area residents
dfw-0048,Texas Health Family Care – Denton (Representative Primary Care),"2900 N Interstate 35, Suite 500, Denton, TX 76201",940-387-4100,https://www.care.texashealth.org,"Family medicine, preventive care, chronic disease management",Adults and families in Denton and nearby communities,Accepts major insurance plans and Medicare; self-pay options available,Call clinic or use online portal for appointments,Mon–Fri daytime clinic hours,,Insurance-based primary care; financial counseling may be available,,Part of Texas Health Physicians Group serving Denton County
dfw-0049,Planned Parenthood – Denton Health Center,"2436 S Interstate 35 E, Suite 340, Denton, TX 76205",940-891-1550,https://www.plannedparenthood.org,"Birth control, STI testing and treatment, cancer screenings, limited primary reproductive care",Teens and adults seeking sexual and reproductive health services in Denton County,Accepts Medicaid and many insurances; sliding-fee scale and grant funding for eligible uninsured,Schedule online or by phone; limited walk-in capacity,Hours vary by day; typically weekdays with some extended hours,,Sliding-fee scale; some services free for qualifying patients,,Reproductive health clinic serving Denton and surrounding communities
dfw-0050,Texas Health Presbyterian Hospital – Denton Community Health,"3000 N Interstate 35, Denton, TX 76201",940-898-7000,https://www.texashealth.org/locations/texas-health-presbyterian-hospital-denton,"Full-service hospital, ER, maternity, medical/surgical specialties, community outreach",Residents of Denton and Cooke counties and surrounding areas,Accepts most insurance; financial assistance and charity care programs available,ER is walk-in 24/7; clinics and procedures require appointments,Hospital and emergency department 24/7; outpatient hours vary,,Hospital costs with potential discounts/charity care for eligible low-income patients,,Nonprofit hospital providing comprehensive acute care services in Denton County
