doc_id,name,address,phone,website,services,population,eligibility,intake,hours,capacity,cost,contact_email,notes
mh-rich-0001,The Counseling Place,"375 Municipal Drive, Suite 236, Richardson, TX 75080","469-283-0242",https://counselingplace.org,"Affordable professional counseling; trauma and crime-victim counseling; youth and prevention programs.","Adults, teens, children, families, crime victims","Open to the general public; grant-funded no-cost counseling available for victims of crime and police referrals (Richardson and Sachse).","Call main number or use website contact form to request an appointment; no walk-ins.","Mon–Thu 9:00am–5:00pm; Fri 9:00am–1:00pm; Sat–Sun closed.",Unknown,"Sliding-scale and low-cost services; no-cost counseling for eligible crime victims; most programs supported by grants and donations.","help@counselingplace.org","Nonprofit mental health agency serving Richardson since 1979; offers in-person and telehealth counseling."
mh-rich-0002,Richland Oaks Counseling Center,"1221 Abrams Rd, Suite 325, Richardson, TX 75081","469-619-7622",https://www.richlandoaks.org,"Individual, couples, and family counseling; psychological assessment; trauma, anxiety, depression, relationships; reduced-fee training clinic with graduate interns.","Children, teens, adults, couples, families","Open to the public; sliding-scale reduced fees available, especially with graduate student clinicians.","Call office or email to request an appointment; all services by appointment only.","By appointment only; daytime and evening availability varies by clinician.",Unknown,"Sliding-scale options (including lower-cost sessions with interns); standard private-pay rates vary by clinician; some insurance accepted.","ROCC.Richardson@richlandoaks.org","Training and community counseling center; multiple licensed psychologists and interns under supervision."
mh-rich-0003,Meltzer Counseling PLLC,"1221 Abrams Rd, Suite 326, Richardson, TX 75081","972-638-7199",https://meltzercounseling.com,"Evidence-based psychotherapy (ACT, CBT, DBT skills); mood and anxiety disorders; trauma and PTSD; addiction; relationship and family therapy; some family programs offering no-cost sessions for qualifying families.","Teens, young adults, adults, couples, families","Open to the public; Family Tree Program provides free family counseling for eligible families in Dallas/Denton County (subject to funding and criteria).","Call office or submit the online contact form to be matched with a clinician; telehealth and in-person options.","Mon–Fri 8:00am–9:00pm; weekends and evenings by appointment.",Unknown,"Accepts many commercial insurance plans; private-pay available; limited no-cost or reduced-fee family services through specific grant programs.","rachel@meltzercounseling.com","Group practice with diverse clinicians and specialties; offers both in-person and HIPAA-compliant telehealth sessions."
mh-rich-0004,Love Roots Therapy PLLC,"100 N Central Expressway, Suite 310, Richardson, TX 75080","430-307-3907",https://www.loverootstherapy.com,"Individual and couples counseling; trauma and attachment-focused therapy; anxiety, depression, self-esteem and life transitions; LGBTQIA+ affirming care.","Young adults, adults, couples, LGBTQIA+ community","Open to adults and couples; affirming of diverse identities and relationships; some telehealth availability for Texas residents.","Request an appointment via online client portal or call office; brief consultation often available before scheduling.","By appointment only; hours vary by therapist.",Unknown,"Primarily private-pay; some clinicians may accept insurance or provide superbills for out-of-network reimbursement; fees and sliding-scale options vary by provider.","VeronicaCerda@LoveRootsTherapy.com","Small, relationship-focused practice emphasizing authenticity, inclusivity, and trauma-informed care."
mh-rich-0005,Linden Tree Counseling PLLC,"1755 N Collins Blvd, Suite 310, Richardson, TX 75080","945-247-0850",https://www.lindentreecounseling.com,"Child and play therapy; anxiety and ADHD treatment; parenting support; individual and family counseling; faith-integrated counseling available by request.","Children, teens, adults, parents, families","Open to the public; some clinicians paneled with insurance plans; telehealth offered for older teens and adults.","Call office or use online contact form to request an intake; all visits scheduled in advance.","By appointment; daytime and after-school/evening slots depending on clinician.",Unknown,"Standard sessions around $135; accepts some insurance plans and HSA/FSA; exact rate and coverage depend on provider and plan.","lindseybass@lindentreecounseling.com","Offers child-friendly play therapy rooms and family-systems-oriented treatment for anxiety, behavior, and adjustment issues."
mh-rich-0006,Journeys Christian Counseling Center,"100 N Central Expy, Suite 614, Richardson, TX 75080","972-889-2487",https://www.journeyschristiancounseling.net,"Christian-based counseling for individuals, couples, and families; marriage and relationship counseling; anxiety, depression, grief, life transitions and spiritual issues.","Adults, couples, families, some teens","Open to the public; services provided from a Christian worldview but generally available to anyone comfortable with faith-integrated counseling.","Call main number or use website contact form to be scheduled with a counselor; appointments required.","By appointment; hours vary by counselor, with some evening availability.",Unknown,"Primarily private-pay; some clinicians may accept insurance or offer sliding-scale fees; clients should verify costs when scheduling.","journeys.marthabrock@gmail.com","Long-standing Christian counseling center (established in the early 1990s) serving the North Dallas/Richardson area."
mh-rich-0007,Richardson Christian Counseling (Texas Christian Counseling – Richardson),"100 N Central Expressway, Suite 532, Richardson, TX 75080","469-943-2626",https://richardsonchristiancounseling.com,"Faith-integrated individual therapy; couples and family counseling; treatment for anxiety, depression, trauma and PTSD, grief, codependency, relational and family issues; online counseling available.","Children, teens, adults, couples, families","Open to the public; Christian-oriented care for clients who want to include faith; most counselors are licensed mental health professionals and many accept insurance.","Call reception line or submit a contact form to be matched with a counselor and schedule an intake.","By appointment; hours depend on individual counselor, including some evenings and weekends.",Unknown,"Many providers accept commercial insurance; private-pay and some reduced-fee options may be available; verify benefits prior to first visit.","connect@texaschristiancounseling.com","Association of licensed Christian counselors serving Richardson and surrounding North Dallas suburbs in person and via telehealth."
mh-rich-0008,New Directions Counseling and Wellness Center,"1901 N Central Expressway, Suite 220, Richardson, TX 75080","972-680-8986",https://newdirectionscounseling.com,"Individual counseling; couples, marriage, and family therapy; anxiety and depression treatment; grief and loss; adolescent and parenting counseling; neurofeedback services.","Adolescents, adults, couples, families","Open to the general public; some clinicians specialize in family and couples work; telehealth available for many services.","Call office or use website contact form to schedule; some clinicians allow direct email or extension-based scheduling.","By appointment; daytime and some evening hours depending on provider.",Unknown,"Private-pay practice; some clinicians accept insurance or provide superbills for out-of-network reimbursement; fees vary by therapist and service type.","info@newdirectionscounseling.com","Multi-clinician practice offering both traditional talk therapy and neurofeedback; provides crisis hotline information on site for suicidal emergencies."
mh-rich-0009,Jeremy R. Cooper, LPC PLLC (North Dallas/Richardson Therapy),"1221 Abrams Rd, Suite 325, Richardson, TX 75081","214-810-5861",https://www.jeremycooperlpc.com,"Specialized therapy for PTSD and complex trauma; dissociative disorders; grief and loss; anxiety; Christian counseling upon request; research-informed, depth-oriented psychotherapy.","Adults (including trauma survivors, clients with chronic illness, and faith-oriented clients)","Open to adult clients; in-person sessions in Richardson and HIPAA-compliant telehealth for Texas residents; accepts some commercial insurance (including Aetna).","Request an appointment via website contact form or call main number; all sessions by appointment only.","By appointment only; scheduling tailored individually (daytime and some evening options).",Unknown,"Accepts Aetna and some other insurance plans; private-pay rates available on request; out-of-network benefits may apply for other plans.","Jeremy.Cooper@richlandoaks.org","Solo practice located inside Richland Oaks Counseling Center; integrates research, philosophy, and spirituality for trauma-informed care."
mh-rich-0010,Texas Health Behavioral Health Center – Richardson,"3661 N Plano Road, Suite 2100, Richardson, TX 75082","682-236-6023",https://www.texashealth.org/Locations/texas-health-cityline/THBHCR,"Hospital-affiliated behavioral health center offering mental health assessments; outpatient therapy and psychiatric services; adult and adolescent behavioral health programs; coordination with higher levels of care (PHP/IOP/inpatient) in the Texas Health system.","Adults and adolescents needing structured outpatient or step-down behavioral health care","Open to the public; may require insurance or self-pay and clinical appropriateness for specific programs; typically serves North Texas residents.","Call clinic directly or Texas Health behavioral health intake line for screening and appointment scheduling; referrals may also come from providers or hospitals.","Hours of operation vary by program; generally weekday hours with some extended programming—call for current schedule.",Unknown,"Accepts most major insurance plans and Medicare/Medicaid where applicable; hospital billing with self-pay and financial assistance options per Texas Health policies.","","Outpatient behavioral health hub at Texas Health CityLine; useful for higher-acuity clients who need psychiatry, structured programs, or hospital system support."
